8.1305,5.4217,8.1305,1.0202,5.3843,8.1604,5.3622,1.0052,5.377,-3.516,9.0513,-0.93283,-3.5386,9.0812,9.0662,-3.5385,-0.9408,1
9.6704,-2.0166,9.6919,-0.6202,-1.9122,9.5144,-2.0914,-0.49162,-2.2781,-3.6227,8.1525,-4.098,-3.6076,8.13,8.0997,-3.6448,-3.9634,1
9.0356,3.5627,8.9986,-1.497,3.5178,9.0207,3.5177,-1.5194,3.4881,-3.8759,8.9684,-0.26649,-3.8687,9.006,8.9608,-3.8758,-0.26646,1
9.1547,3.1428,9.1769,-1.5376,3.1727,9.1547,3.1428,-1.545,3.1578,-3.5844,9.0341,-1.0751,-3.5769,9.0342,9.049,-3.5844,-1.0751,1
6.7418,7.145,6.7717,-0.56303,7.1004,6.7343,7.1598,-0.54764,7.1223,-3.3757,9.0365,-1.5292,-3.3756,9.0214,9.0064,-3.3533,-1.5363,1
8.0706,5.5234,8.1155,-0.46365,5.4341,8.1601,5.5841,-0.38998,5.4945,-3.6797,7.536,-5.0042,-3.6573,7.5285,7.5283,-3.6798,-5.0042,1
9.4422,2.6347,9.335,-1.2715,3.0115,9.3941,2.9065,-1.3432,2.7263,-4.0094,8.6294,2.3896,-3.9945,8.6371,8.6147,-4.0171,2.3069,1
7.4938,6.2939,7.5012,-0.69934,6.2939,7.531,6.2942,-0.6922,6.2868,-5.1359,8.0966,1.8901,-5.1658,8.1114,8.0965,-5.1286,1.8902,1
8.415,4.9522,8.4074,0.58114,4.9968,8.4148,5.0792,0.5812,5.0265,-9.6438,-1.744,-0.26417,-9.644,-1.714,-1.744,-9.6438,-0.28665,2
9.4622,1.9354,9.5213,0.5589,2.1148,9.521,2.1593,0.47724,2.3077,-9.6579,0.32082,-1.3015,-9.7097,0.17844,0.013324,-9.7159,-1.3173,2
9.6535,1.7858,9.5484,-1.0292,1.7989,9.6682,1.7407,-0.93324,1.7998,-9.6664,-1.1304,-1.1521,-9.6662,-1.153,-1.1679,-9.6814,-1.1149,2
9.1996,2.5165,9.1029,-2.2976,2.5011,9.3411,2.6671,-2.3732,2.5466,-9.7739,-0.13965,0.386,-9.8032,-0.2523,-0.22215,-9.8258,0.35504,2
9.0175,3.8681,9.0179,-0.035115,3.8686,8.973,3.9354,-0.049689,3.9277,-9.4459,-2.6528,-0.66059,-9.4383,-2.6902,-2.6976,-9.431,-0.7053,2
9.1036,3.5157,9.1185,0.024283,3.5307,9.1634,3.4864,0.009285,3.4714,-9.6415,0.14474,-1.7173,-9.6339,0.1224,0.1449,-9.634,-1.7396,2
8.6715,4.4713,8.6492,-1.1598,4.4562,8.7607,4.4716,-1.3007,4.4331,-9.6283,-1.0757,-1.5554,-9.591,-1.0756,-0.98593,-9.6213,-1.5404,2
9.8463,0.70004,9.8461,0.46214,0.7447,9.7787,0.69885,0.31473,0.72074,-9.7375,-1.0511,-0.16388,-9.7536,-0.89308,-0.90027,-9.7745,-0.02957,2
-4.8676,8.5751,-4.8527,-0.47624,8.5902,-4.8228,8.5905,-0.49159,8.6946,-0.71483,9.6002,-1.6512,-0.72989,9.6152,9.6002,-0.74482,-1.6968,3
-1.6051,9.7032,-1.5462,-0.33734,9.9722,-1.4259,9.7501,-0.38015,9.7102,-1.0466,9.4237,-2.435,-1.0615,9.4236,9.3786,-1.0167,-2.4343,3
-3.5953,9.2619,-3.484,0.12607,9.2096,-3.4838,9.1874,0.21516,9.2026,-0.031284,8.0025,-5.617,-0.016067,8.0021,8.1215,-0.046514,-5.2049,3
-2.9838,9.2452,-2.9242,1.7664,9.283,-2.9242,9.2381,1.7443,9.2604,-1.1182,8.3639,-4.9649,-1.1405,8.3562,8.356,-1.1554,-4.9357,3
-4.0688,8.9551,-4.0688,-0.71552,8.9551,-4.069,8.9698,-0.70137,9.0453,-1.2149,8.628,-4.5119,-1.2146,8.5978,8.6053,-1.2222,-4.467,3
-4.6125,8.7826,-4.5894,-0.88527,8.6865,-4.6495,8.6853,-1.0183,8.7002,-0.52483,9.7489,0.3339,-0.50989,9.7564,9.7563,-0.50991,0.35669,3
-4.3973,9.012,-4.4406,1.3018,8.5046,-4.3224,8.6837,1.1437,8.7587,-1.2937,9.5505,-0.26508,-1.3986,9.5656,9.6783,-1.445,-0.62849,3
-1.6443,9.5207,-1.6592,-2.256,9.4907,-1.6442,9.476,-2.2412,9.4759,-2.2424,9.5125,0.81495,-2.2347,9.475,9.4975,-2.2347,0.83015,3
8.7247,3.8272,8.6209,2.0501,3.4529,8.9343,3.2762,2.077,3.2327,-11.648,0.11199,0.46356,-10.9,-1.1625,-1.9848,-8.8482,1.3984,4
9.1313,3.4606,9.2139,0.077553,3.4023,8.7879,3.809,0.081196,3.1462,-8.8716,1.3942,-2.2643,-10.415,-1.4207,-0.085823,-10,-2.2781,4
11.35,1.7349,11.653,-1.172,0.94987,11.599,0.10414,-0.059691,-0.039948,-10.437,0.46738,-1.8208,-11.218,0.45248,1.0093,-11.903,0.39849,4
8.5399,2.5809,9.6284,-2.4142,2.7396,11.315,3.8083,-4.219,4.812,-8.7182,10.732,-0.19937,-9.1396,11.33,-0.091232,-13.913,0.77708,4
9.0288,4.6502,8.2824,-1.5191,4.4858,8.4624,4.5112,-0.5844,4.7361,-7.1768,-4.1866,-3.2939,-12.613,-3.4676,-1.129,-8.9235,-2.7154,4
11.826,5.7031,11.036,1.1736,4.7933,8.9549,4.3561,-0.58952,3.6468,-13.117,12.703,1.4988,-8.2729,-1.6714,-2.6265,-10.557,-2.3757,4
9.0827,3.3055,9.4569,-3.9012,3.6399,9.8374,4.3579,-0.85667,3.4887,-7.7969,-2.888,-2.4408,-11.427,8.2581,0.55915,-9.425,0.17285,4
9.6827,0.84393,9.1311,-2.417,1.0858,9.0451,0.67098,-2.1825,0.99312,-9.4217,-2.3245,-1.4271,-9.0857,-0.33404,-1.8848,-9.1626,-0.5136,4
