1	1.82	82.0	25.0	2024
2	3.16	72.0	29.0	2024
3	2.18	83.0	22.0	2024
4	3.27	78.0	36.0	2024
5	3.27	75.0	22.0	2024
6	3.11	69.0	19.0	2024
7	2.98	74.0	18.0	2024
8	3.37	71.0	35.0	2024
9	2.37	77.0	21.0	2024
10	2.92	87.0	27.0	2024
11	3.63	83.0	19.0	2024
12	2.56	66.0	19.0	2024
13	3.15	76.0	32.0	2024
14	2.33	72.0	18.0	2024
15	2.16	76.0	22.0	2024
16	2.59	76.0	27.0	2024
17	2.34	83.0	34.0	2024
18	3.27	77.0	25.0	2024
19	3.03	73.0	25.0	2024
20	3.29	68.0	21.0	2024
21	1.95	77.0	29.0	2024
22	3.31	64.0	27.0	2024
23	2.95	71.0	18.0	2024
24	3.58	83.0	22.0	2024
25	2.35	68.0	32.0	2024
26	2.82	78.0	24.0	2024
27	2.28	78.0	29.0	2024
28	3.6	77.0	30.0	2024
29	1.6	67.0	28.0	2024
30	3.36	78.0	36.0	2024
31	3.51	61.0	24.0	2024
32	3.27	81.0	30.0	2024
33	3.32	77.0	25.0	2024
34	3.24	73.0	21.0	2024
35	2.99	75.0	19.0	2024
36	1.7	78.0	28.0	2024
37	2.25	79.0	28.0	2024
38	3.89	68.0	30.0	2024
39	3.3	74.0	31.0	2024
40	2.92	69.0	19.0	2024
41	2.48	77.0	23.0	2024
42	3.57	69.0	31.0	2024
43	3.24	77.0	31.0	2024
44	3.51	66.0	23.0	2024
45	2.41	74.0	32.0	2024
46	3.56	67.0	32.0	2024
47	3.55	82.0	21.0	2024
48	3.36	74.0	35.0	2024
49	2.67	78.0	17.0	2024
50	3.03	75.0	20.0	2024
51	3.39	78.0	19.0	2024
52	2.65	70.0	22.0	2024
53	2.87	69.0	31.0	2024
54	2.51	79.0	19.0	2024
55	3.64	71.0	26.0	2024
56	2.9	75.0	26.0	2024
57	3.96	76.0	25.0	2024
58	3.39	74.0	30.0	2024
59	3.01	71.0	33.0	2024
60	3.89	74.0	23.0	2024
61	2.52	74.0	25.0	2024
62	1.9	76.0	19.0	2024
63	2.68	76.0	19.0	2024
64	2.27	77.0	28.0	2024
65	3.75	77.0	20.0	2024
66	3.31	70.0	23.0	2024
67	2.34	80.0	29.0	2024
68	3.75	77.0	25.0	2024
69	1.9	73.0	19.0	2024
70	1.4	70.0	19.0	2024
71	3.25	78.0	33.0	2024
72	1.95	72.0	26.0	2024
73	3.19	75.0	21.0	2024
74	2.1	83.0	17.0	2024
75	3.0	69.0	25.0	2024
76	2.09	76.0	35.0	2024
77	3.48	70.0	17.0	2024
78	2.17	73.0	28.0	2024
79	3.44	77.0	33.0	2024
80	3.2	70.0	20.0	2024
81	3.72	73.0	24.0	2024
82	2.87	78.0	24.0	2024
83	3.0	68.0	18.0	2024
84	2.18	81.0	31.0	2024
85	3.68	74.0	26.0	2024
86	3.62	82.0	17.0	2024
87	2.55	68.0	19.0	2024
88	2.75	69.0	24.0	2024
89	3.25	76.0	33.0	2024
90	3.72	81.0	24.0	2024
91	3.5	66.0	17.0	2024
92	3.26	77.0	32.0	2024
93	3.08	74.0	24.0	2024
94	2.56	74.0	24.0	2024
95	3.69	73.0	21.0	2024
96	2.01	78.0	23.0	2024
97	3.11	70.0	21.0	2024
98	2.46	75.0	25.0	2024
99	2.44	79.0	26.0	2024
100	3.55	72.0	20.0	2024
101	2.71	80.0	27.0	2024
102	2.7	75.0	30.0	2024
103	3.5	73.0	26.0	2024
104	3.07	78.0	24.0	2024
105	1.95	81.0	24.0	2024
106	3.19	77.0	26.0	2024
107	3.37	75.0	21.0	2024
108	2.51	69.0	26.0	2024
109	1.75	77.0	30.0	2024
110	3.17	69.0	29.0	2024
111	3.86	81.0	23.0	2024
112	3.61	81.0	29.0	2024
113	3.22	74.0	20.0	2024
114	2.91	71.0	23.0	2024
115	2.05	75.0	24.0	2024
116	2.89	81.0	22.0	2024
117	2.18	77.0	22.0	2024
118	2.97	77.0	23.0	2024
119	3.32	70.0	23.0	2024
120	2.39	73.0	25.0	2024
121	3.93	72.0	26.0	2024
122	1.1	82.0	20.0	2024
123	1.83	78.0	28.0	2024
124	3.64	83.0	21.0	2024
125	3.2	79.0	19.0	2024
126	3.4	61.0	20.0	2024
127	2.29	72.0	23.0	2024
128	2.92	74.0	23.0	2024
129	3.78	68.0	20.0	2024
130	2.46	76.0	21.0	2024
131	2.89	75.0	21.0	2024
132	2.48	76.0	27.0	2024
133	3.97	83.0	24.0	2024
134	3.85	84.0	36.0	2024
135	3.6	76.0	30.0	2024
136	2.7	83.0	27.0	2024
137	3.18	70.0	22.0	2024
138	3.32	69.0	22.0	2024
139	1.54	70.0	21.0	2024
140	2.76	68.0	21.0	2024
141	2.6	76.0	33.0	2024
142	2.64	67.0	23.0	2024
143	1.99	75.0	21.0	2024
144	3.37	81.0	24.0	2024
145	2.34	76.0	29.0	2024
146	3.77	75.0	34.0	2024
147	2.72	69.0	24.0	2024
148	1.57	80.0	17.0	2024
149	2.49	72.0	25.0	2024
150	3.85	65.0	23.0	2024
151	1.83	82.0	21.0	2024
152	2.97	69.0	18.0	2024
153	1.99	69.0	21.0	2024
154	2.53	76.0	26.0	2024
155	3.31	66.0	17.0	2024
156	2.27	72.0	17.0	2024
157	1.79	83.0	27.0	2024
158	3.41	81.0	20.0	2024
159	2.61	68.0	36.0	2024
160	3.31	78.0	21.0	2024
161	2.56	74.0	27.0	2024
162	3.15	80.0	20.0	2024
163	2.92	75.0	22.0	2024
164	1.16	74.0	29.0	2024
165	1.78	75.0	35.0	2024
166	2.79	78.0	21.0	2024
167	3.46	72.0	30.0	2024
168	3.53	66.0	23.0	2024
169	3.24	78.0	23.0	2024
170	2.48	79.0	18.0	2024
171	3.11	77.0	31.0	2024
172	3.26	71.0	28.0	2024
173	3.13	72.0	36.0	2024
174	3.04	87.0	34.0	2024
175	3.44	71.0	21.0	2024
176	1.59	78.0	18.0	2024
177	3.94	77.0	20.0	2024
178	3.96	86.0	26.0	2024
179	3.13	70.0	24.0	2024
180	3.41	67.0	19.0	2024
181	3.14	69.0	18.0	2024
182	3.47	76.0	17.0	2024
183	2.29	65.0	32.0	2024
184	2.89	69.0	34.0	2024
185	2.48	71.0	22.0	2024
186	3.48	84.0	34.0	2024
187	1.87	73.0	19.0	2024
188	1.57	71.0	20.0	2024
189	2.8	74.0	25.0	2024
190	3.57	79.0	17.0	2024
191	2.8	72.0	25.0	2024
192	2.83	70.0	32.0	2024
193	2.63	79.0	19.0	2024
194	3.15	72.0	33.0	2024
195	2.75	81.0	21.0	2024
196	1.43	65.0	28.0	2024
197	3.18	70.0	24.0	2024
